seed_id,n,q,q2,total_reward,child_count,path_ids,mutator_methods,updated_at
1,4,0,0,0,0,"[""1""]",,2025-12-29 10:50:00.039011+00
2,4,0,0,0,0,"[""2""]",,2025-12-29 10:50:12.086927+00
3,4,0,0,0,0,"[""3""]",,2025-12-29 10:50:21.391461+00
4,4,0,0,0,0,"[""4""]",,2025-12-29 10:50:29.286065+00
5,4,0,0,0,0,"[""5""]",,2025-12-29 10:50:40.838001+00
6,4,0,0,0,0,"[""6""]",,2025-12-29 10:51:12.448693+00
7,4,0,0,0,0,"[""7""]",,2025-12-29 10:51:41.972848+00
8,4,0,0,0,0,"[""8""]",,2025-12-29 10:51:55.092853+00
9,4,0,0,0,0,"[""9""]",,2025-12-29 10:52:11.018981+00
10,4,0,0,0,0,"[""10""]",,2025-12-29 10:53:52.697637+00
11,4,0,0,0,0,"[""11""]",,2025-12-29 10:54:22.496061+00
12,4,0,0,0,0,"[""12""]",,2025-12-29 10:52:17.630966+00
13,4,0,0,0,0,"[""13""]",,2025-12-29 10:54:07.347249+00
14,4,0,0,0,0,"[""14""]",,2025-12-29 10:52:30.728518+00
15,4,0,0,0,0,"[""15""]",,2025-12-29 10:53:23.717288+00
16,4,0,0,0,0,"[""16""]",,2025-12-29 10:54:33.002224+00
17,4,0,0,0,0,"[""17""]",,2025-12-29 10:54:45.191707+00
18,5,0.2,1,1,1,"[""18""]","[""shorten""]",2025-12-29 09:39:10.141746+00
19,4,0,0,0,0,"[""19""]",,2025-12-29 10:55:57.419684+00
20,4,0,0,0,0,"[""20""]",,2025-12-29 10:56:45.021342+00
21,4,0,0,0,0,"[""21""]",,2025-12-29 10:56:55.157267+00
22,4,0,0,0,0,"[""22""]",,2025-12-29 11:19:07.375723+00
23,4,0,0,0,0,"[""23""]",,2025-12-29 11:20:11.040332+00
24,4,0,0,0,0,"[""24""]",,2025-12-29 10:57:02.184313+00
25,4,0,0,0,0,"[""25""]",,2025-12-29 10:55:21.479351+00
26,4,0,0,0,0,"[""26""]",,2025-12-29 11:20:20.257774+00
27,4,0,0,0,0,"[""27""]",,2025-12-29 10:56:06.582734+00
28,4,0,0,0,0,"[""28""]",,2025-12-29 11:20:35.702464+00
29,5,0.2,1,1,1,"[""29""]","[""expand""]",2025-12-29 09:43:11.777041+00
30,4,0,0,0,0,"[""30""]",,2025-12-29 10:57:11.776365+00
31,4,0,0,0,0,"[""31""]",,2025-12-29 11:21:14.293217+00
32,4,0,0,0,0,"[""32""]",,2025-12-29 11:19:18.774145+00
33,5,0.2,1,1,1,"[""33""]","[""rephrased""]",2025-12-29 11:18:29.083869+00
34,5,0.2,1,1,1,"[""34""]","[""rephrased""]",2025-12-29 09:48:14.570994+00
35,4,0,0,0,0,"[""35""]",,2025-12-29 11:20:49.667297+00
36,4,0,0,0,0,"[""36""]",,2025-12-29 11:21:21.551471+00
37,4,0,0,0,0,"[""37""]",,2025-12-29 11:20:57.35631+00
38,4,0,0,0,0,"[""38""]",,2025-12-29 11:23:02.638037+00
39,4,0,0,0,0,"[""39""]",,2025-12-29 11:21:04.866147+00
40,4,0.25,1,1,1,"[""40""]","[""crossover""]",2025-12-29 11:24:44.807785+00
41,4,0,0,0,0,"[""41""]",,2025-12-29 10:53:42.885653+00
42,4,0,0,0,0,"[""42""]",,2025-12-29 10:55:42.08793+00
43,4,0,0,0,0,"[""43""]",,2025-12-29 11:18:49.178954+00
44,3,0,0,0,0,"[""44""]",,2025-12-29 09:15:35.554517+00
45,4,0,0,0,0,"[""45""]",,2025-12-29 11:19:27.938506+00
